total_dist_move,total_dwell_time,num_temp_checks,num_purges,num_unretract,num_lines_gcode,total_dist_print,num_fan_off,num_retract,num_bytes_gcode,filename,total_length_extruded,num_redundant_lines,num_lines_comment,num_fan_on,num_temp_changes,naive_print_time,total_temp_increment,num_lines_move,total_temp_decrement
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/22/NVlogo-Whistle-positive-X2_FvXAK7W_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
28605.94672,0.036,5,3,152,4998,8205.611643,8,154,128649,gcode/2016/06/20/complete_assembly_-_quarter_note-1_reoriented.gcode,893.4424129,11,248,3,5,348.3233077,220,3887,220
161604.4725,0.171,5,3,961,47001,86670.2718,7,963,1314280,gcode/2016/09/08/PP0057-RevA_Encoder-Cover_reoriented.gcode,4572.67477,13,385,35,5,5329.175966,220,41727,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/09/20/NVlogo-Whistle-positive-X2_uu6ykNV_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
321880.323,0.025,5,3,155,35680,296244.7977,24,157,1017158,gcode/2016/08/04/Inner_Cover_reoriented.gcode,8880.293076,12,237,22,5,3208.873929,220,34491,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/09/20/NVlogo-Whistle-positive-X2_3csxnZb_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
191227.448,0.228,5,3,461,42652,104711.9463,7,463,1173644,gcode/2016/09/14/spike_head_sylvester_reoriented.gcode,5617.578562,56,442,294,5,5391.794379,220,36794,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/26/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented_VOEA6sm.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
187233.726,0.117,5,3,702,67495,124608.6609,7,704,1878686,gcode/2016/08/04/Cut_Ulna_and_Radius_reoriented.gcode,3944.494204,61,329,974,5,5828.37692,220,59000,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/09/20/NVlogo-Whistle-positive-X2_eLrCR6Q_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
1494133.874,0.254,5,3,2421,468936,1272106.442,132,2423,13337109,gcode/2016/07/14/Reciprocating_Y_Plate_-_Printable_Model_reoriented.gcode,31109.72224,88,468,219,5,33183.94383,220,441090,220
715188.3858,0.491,5,3,2184,97242,496878.7386,8,2186,2719800,gcode/2016/09/19/shayas_house_1_reoriented.gcode,23024.01314,339,705,663,5,12654.42469,220,83864,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/06/NVlogo-Whistle-positive-X2_upypGYH_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
260680.0171,0.075,5,3,276,23309,204989.0416,14,278,635576,gcode/2016/12/02/PAE1_X_188_UQHjLvk_reoriented_6lNW4lf.gcode,10395.76333,17,289,66,5,3083.985558,220,20228,220
422904.5978,0.608,5,3,727,35074,219481.7213,7,729,894036,gcode/2016/11/18/Z_180-20_reoriented_4UlGrRQ.gcode,10174.81137,10,822,120,5,6603.611718,220,24756,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/06/NVlogo-Whistle-positive-X2_upypGYH_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
36526.95179,0.063,5,3,166,11925,9144.23745,8,168,326737,gcode/2016/07/12/Ukulele_Base_Plug_G5PMr5L_reoriented.gcode,824.8307567,11,275,3,5,730.7539927,220,10335,220
633306.3447,0.273,5,3,886,131620,486756.5213,24,888,3659622,gcode/2016/07/22/turtle_shield_other_corner_reoriented.gcode,12427.18855,40,485,114,5,13847.16446,220,118446,220
179284.0889,0.382,5,3,546,66147,57773.05353,8,548,1861651,gcode/2016/06/16/Golf_Tee_reoriented.gcode,1869.733534,60,594,115,5,4407.699225,220,58825,220
45626.71266,0.035,5,3,264,13828,23958.71894,7,266,380125,gcode/2016/07/15/msgkeychainv2_20140821-10340-b65mfh-0_reoriented.gcode,1398.697451,49,247,103,5,1286.557274,220,11892,220
140950.1564,0.067,5,3,588,48551,101965.2671,7,590,1361914,gcode/2016/07/12/NVlogo-Whistle-positive-X2_r3uo1Ds_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
547807.0649,0.505,5,3,5157,348247,332438.4099,7,5159,9881590,gcode/2016/09/28/ethanol_reoriented_xdE59tR.gcode,7934.291839,443,717,2047,5,30296.99777,220,317650,220
183018.7636,0.036,5,3,161,27030,151738.9752,32,163,765201,gcode/2016/10/01/Spindle_Whorl_reoriented.gcode,8136.920286,11,248,27,5,3365.512654,220,25153,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/19/NVlogo-Whistle-positive-X2_e801SQa_reoriented_u50Bygo.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
161798.6093,0.118,5,3,780,51227,105168.9036,7,782,1436445,gcode/2016/12/21/NVlogo-Whistle-positive-X2_5e6ZisM_reoriented.gcode,5518.261738,245,332,187,5,5316.742329,220,45458,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/20/NVlogo-Whistle-positive-X2_e801SQa_reoriented_hgpEBmX.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/20/NVlogo-Whistle-positive-X2_e801SQa_reoriented_jq56XDV.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
264259.8427,0.085,5,3,393,25547,215434.6678,10,395,690117,gcode/2016/09/29/1x3_Box_reoriented_OwSXgvx.gcode,6097.709744,11,297,13,5,3510.373256,220,20968,220
424172.6092,0.483,5,3,810,114137,263083.8191,7,812,3185307,gcode/2016/06/15/PP0044-RevC_Camera-Mount_reoriented.gcode,12439.73982,10,697,462,5,13957.29778,220,100854,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/15/NVlogo-Whistle-positive-X2_BmM5J10_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
372625.8571,0.25,5,3,1070,150888,259922.1636,7,1072,4259316,gcode/2016/06/16/wheel_2in_diameter_shaft_reoriented.gcode,6752.98276,53,462,226,5,18042.70234,220,137153,220
2485666.198,0.834,5,3,11284,744808,1837387.635,154,11286,21198406,gcode/2016/09/16/Base_SUoNvvz_reoriented.gcode,44314.19288,715,1046,640,5,67471.77751,220,683050,220
459633.7739,0.185,5,3,1772,168039,337898.7076,8,1774,4752262,gcode/2016/06/14/connector_prong_with_hooks_pLo142T_reoriented.gcode,9077.675257,32,397,703,5,11931.28316,220,152545,220
383157.7289,0.335,5,3,470,79052,270172.9121,7,472,2210062,gcode/2016/09/26/PP0054-RevA_Ramp-Guide_reoriented.gcode,14222.40643,150,549,82,5,11161.93458,220,72693,220
