submission__id,submission__name,submission__gcode,submission__print_time(s),simulation__print_time(s),simulation__print_time_with_acceleration(s),Log(print time),Log(sim),Log(sim w/ accel),simulation__layers_printed,simulation__layers_visited,simulation__xy_distance(mm),simulation__extrusion(mm),simulation__avg_speed(mm/s),simulation__avg_print_speed(mm/s),simulation__avg_travel_speed(mm/s),simulation__gcode_lines,simulation__mass(cm3),simulation__avg_layer_height(mm),Log(guess),xh-xbar squared,added error term for interval,Pred log low,Pred log high,Pred PT low (min),Pred PT high (min),PT guess (min),Actual time outside interval?,Pred low - guess,Pred high - guess
41485,NVlogo-Whistle-positive-X2.stl,gcode/2016/08/22/NVlogo-Whistle-positive-X2_FvXAK7W_reoriented.gcode,4141,2289.39,2420.4167,8.3286925835,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
56641,owlkeychain.stl,gcode/2016/12/15/owlkeychain_reoriented.gcode,2987,1591.68,1796.7144,8.0020248182,7.3725453412,7.4937149426,190,192,134452.48,9.13,135.35,82.75,159.63,71400,0.06,0.2,8.061367264,0.377860371,0.0004565534,7.8226644653,8.3000700626,41.6091420146,67.0692387807,52.8270146917,N,-21%,27%
34474,complete assembly - quarter note-1.STL,gcode/2016/06/20/complete_assembly_-_quarter_note-1_reoriented.gcode,961,555.88,503.6521,6.867974409,6.3205524436,6.2218857519,32,34,28749.36,9.1,136.84,41.12,160.93,5026,0.06,0.19,6.8385826919,3.5590055256,0.004300202,6.5994222543,7.0777431295,12.2445102304,19.7548408431,15.552760231,N,-21%,27%
42670,PP0057-RevA_Encoder-Cover.stl,gcode/2016/09/08/PP0057-RevA_Encoder-Cover_reoriented.gcode,4521,2585.82,2739.4238,8.4164884873,7.8577979513,7.9155028853,167,168,161534,6.09,116.56,54.24,166.93,47025,0.04,0.29,8.4668901068,0.0372164054,4.49670727906322E-05,8.2282363652,8.7055438485,62.4203786464,100.6047311896,79.2450971006,N,-21%,27%
43785,NVlogo-Whistle-positive-X2.stl,gcode/2016/09/20/NVlogo-Whistle-positive-X2_uu6ykNV_reoriented.gcode,4126,2289.39,2420.4167,8.3250636936,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
40001,Inner_Cover.stl,gcode/2016/08/04/Inner_Cover_reoriented.gcode,5745,2983,3868.1235,8.6560851903,8.0006847845,8.2605247847,20,22,321860.66,11.09,147.61,147.65,147.4,35704,0.08,0.18,8.7986071792,0.0231363447,2.7954706733391E-05,8.5599554654,9.0372588929,86.9741460961,140.1781804209,110.4168354166,N,-21%,27%
55792,Park.S.Triangle_Ruler_3x4in.stl,gcode/2016/12/12/Park.S.Triangle_Ruler_3x4in_reoriented.gcode,15821,9478.54,10840.925,9.6690934504,9.1567855749,9.2910836035,679,681,710201.75,7.45,118.73,66.46,151.09,90855,0.05,0.15,9.7894253121,1.3986969249,0.0016899888,9.5505755606,10.0282750637,234.2130095153,377.6358990863,297.4008077091,N,-21%,27%
43953,NVlogo-Whistle-positive-X2.stl,gcode/2016/09/20/NVlogo-Whistle-positive-X2_3csxnZb_reoriented.gcode,4134,2289.39,2420.4167,8.3270007402,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
51090,battery_holder_ftc_edited.stl,gcode/2016/11/16/battery_holder_ftc_edited_reoriented.gcode,14701,8492.21,10635.349,9.5956707977,9.0469045517,9.2719385433,114,115,742905.25,4.08,112.29,103.28,139.58,83391,0.03,0.19,9.7710185289,1.3537790662,0.0016357163,9.5321752415,10.0098618163,229.9428222953,370.7460230053,291.9766889404,N,-21%,27%
43037,spike_head_sylvester.stl,gcode/2016/09/14/spike_head_sylvester_reoriented.gcode,4349,2370.98,2662.7063,8.3777012126,7.7710586508,7.8870982906,176,178,191198.9,9.08,132.67,97.89,148.2,42677,0.06,0.29,8.4395808577,0.0489826018,5.91836905937909E-05,8.2009254214,8.678236294,60.7386880034,97.8946334924,77.110256133,N,-21%,27%
